date,kwh
2026-04-01,15.0000
2026-04-02,9.8000
2026-04-03,11.1000
2026-04-04,11.0000
2026-04-05,11.3000
2026-04-06,13.4000
2026-04-07,12.6000
2026-04-08,13.7000
2026-04-09,13.9000
2026-04-10,10.6000
2026-04-11,10.2000
2026-04-12,8.4000
2026-04-13,9.7000
2026-04-14,14.8000
2026-04-15,13.2000
2026-04-16,9.2000
2026-04-17,12.8000
2026-04-18,12.4000
2026-04-19,13.5000
2026-04-20,12.0000
2026-04-21,7.9000
2026-04-22,11.7000
2026-04-23,10.2000
2026-04-24,5.9000
2026-04-25,0.0000
2026-04-26,0.0000
2026-04-27,0.0000
2026-04-28,0.0000
2026-04-29,0.0000
2026-04-30,0.0000
