date,kwh
2026-02-01,6.1000
2026-02-02,6.1000
2026-02-03,6.2000
2026-02-04,6.1000
2026-02-05,5.3000
2026-02-06,4.3000
2026-02-07,5.8000
2026-02-08,5.7000
2026-02-09,6.2000
2026-02-10,6.2000
2026-02-11,6.1000
2026-02-12,6.3000
2026-02-13,4.8000
2026-02-14,4.2000
2026-02-15,4.4000
2026-02-16,3.6000
2026-02-17,0.0000
2026-02-18,0.0000
2026-02-19,0.0000
2026-02-20,0.0000
2026-02-21,0.0000
2026-02-22,0.0000
2026-02-23,0.0000
2026-02-24,0.0000
2026-02-25,0.0000
2026-02-26,0.0000
2026-02-27,0.0000
2026-02-28,0.0000
