date,kwh
2026-01-01,6.5000
2026-01-02,5.2000
2026-01-03,5.7000
2026-01-04,5.9000
2026-01-05,2.9000
2026-01-06,4.8000
2026-01-07,1.4000
2026-01-08,5.1000
2026-01-09,5.1000
2026-01-10,5.5000
2026-01-11,5.1000
2026-01-12,5.2000
2026-01-13,5.6000
2026-01-14,5.6000
2026-01-15,5.4000
2026-01-16,5.2000
2026-01-17,5.4000
2026-01-18,1.5000
2026-01-19,0.0000
2026-01-20,0.0000
2026-01-21,0.0000
2026-01-22,0.0000
2026-01-23,0.0000
2026-01-24,0.0000
2026-01-25,0.0000
2026-01-26,0.0000
2026-01-27,0.0000
2026-01-28,0.0000
2026-01-29,0.0000
2026-01-30,0.0000
2026-01-31,0.0000
