date,kwh
2025-12-01,7.1000
2025-12-02,9.0000
2025-12-03,9.2000
2025-12-04,7.5000
2025-12-05,7.8000
2025-12-06,6.6000
2025-12-07,9.2000
2025-12-08,10.0000
2025-12-09,8.2000
2025-12-10,7.1000
2025-12-11,6.6000
2025-12-12,5.3000
2025-12-13,8.6000
2025-12-14,8.0000
2025-12-15,9.1000
2025-12-16,8.3000
2025-12-17,5.0000
2025-12-18,5.3000
2025-12-19,6.4000
2025-12-20,8.6000
2025-12-21,5.3000
2025-12-22,7.8000
2025-12-23,9.7000
2025-12-24,8.6000
2025-12-25,9.9000
2025-12-26,9.2000
2025-12-27,8.2000
2025-12-28,8.0000
2025-12-29,9.2000
2025-12-30,7.2000
2025-12-31,8.3000
