date,kwh
2026-04-01,17.6000
2026-04-02,9.7000
2026-04-03,16.0000
2026-04-04,14.8000
2026-04-05,16.7000
2026-04-06,10.9000
2026-04-07,16.5000
2026-04-08,10.8000
2026-04-09,13.2000
2026-04-10,13.6000
2026-04-11,14.3000
2026-04-12,9.0000
2026-04-13,11.4000
2026-04-14,14.5000
2026-04-15,15.0000
2026-04-16,13.7000
2026-04-17,13.5000
2026-04-18,12.9000
2026-04-19,15.1000
2026-04-20,12.6000
2026-04-21,15.6000
2026-04-22,13.9000
2026-04-23,0.0000
2026-04-24,0.0000
2026-04-25,0.0000
2026-04-26,0.0000
2026-04-27,0.0000
2026-04-28,0.0000
2026-04-29,0.0000
2026-04-30,0.0000
