date,kwh
2026-05-01,0.0000
2026-05-02,10.9000
2026-05-03,11.0000
2026-05-04,10.3000
2026-05-05,9.4000
2026-05-06,8.7000
2026-05-07,10.2000
2026-05-08,9.8000
2026-05-09,8.4000
2026-05-10,8.8000
2026-05-11,5.5000
2026-05-12,5.3000
2026-05-13,6.2000
2026-05-14,4.9000
2026-05-15,11.8000
2026-05-16,7.9000
2026-05-17,8.6000
2026-05-18,11.1000
2026-05-19,9.1000
2026-05-20,10.5000
2026-05-21,12.1000
2026-05-22,2.9000
2026-05-23,4.5000
2026-05-24,0.0000
2026-05-25,0.0000
2026-05-26,0.0000
2026-05-27,0.0000
2026-05-28,0.0000
2026-05-29,0.0000
2026-05-30,0.0000
2026-05-31,0.0000
