date,kwh
2026-05-01,7.4000
2026-05-02,7.9000
2026-05-03,7.6000
2026-05-04,7.1000
2026-05-05,5.3000
2026-05-06,7.6000
2026-05-07,7.2000
2026-05-08,7.2000
2026-05-09,5.3000
2026-05-10,5.3000
2026-05-11,3.9000
2026-05-12,4.0000
2026-05-13,0.0000
2026-05-14,1.4000
2026-05-15,5.9000
2026-05-16,4.8000
2026-05-17,6.7000
2026-05-18,5.3000
2026-05-19,8.3000
2026-05-20,6.7000
2026-05-21,6.8000
2026-05-22,1.7000
2026-05-23,0.0000
2026-05-24,0.0000
2026-05-25,0.0000
2026-05-26,0.0000
2026-05-27,0.0000
2026-05-28,0.0000
2026-05-29,0.0000
2026-05-30,0.0000
2026-05-31,0.0000
