date,kwh
2025-12-01,6.0000
2025-12-02,6.4000
2025-12-03,8.0000
2025-12-04,0.0000
2025-12-05,0.0000
2025-12-06,0.0000
2025-12-07,0.0000
2025-12-08,0.0000
2025-12-09,0.0000
2025-12-10,0.0000
2025-12-11,0.0000
2025-12-12,0.2000
2025-12-13,7.5000
2025-12-14,6.9000
2025-12-15,5.7000
2025-12-16,6.2000
2025-12-17,6.1000
2025-12-18,1.1000
2025-12-19,0.0000
2025-12-20,0.0000
2025-12-21,0.0000
2025-12-22,0.0000
2025-12-23,0.0000
2025-12-24,0.0000
2025-12-25,1.5000
2025-12-26,6.1000
2025-12-27,5.4000
2025-12-28,5.4000
2025-12-29,5.5000
2025-12-30,5.0000
