date,kwh
2026-02-01,10.8000
2026-02-02,9.4000
2026-02-03,9.6000
2026-02-04,11.4000
2026-02-05,7.4000
2026-02-06,7.9000
2026-02-07,7.8000
2026-02-08,9.5000
2026-02-09,6.2000
2026-02-10,9.2000
2026-02-11,9.2000
2026-02-12,9.3000
2026-02-13,2.1000
2026-02-14,0.0000
2026-02-15,0.0000
2026-02-16,0.0000
2026-02-17,0.0000
2026-02-18,0.0000
2026-02-19,0.0000
2026-02-20,0.0000
2026-02-21,0.0000
2026-02-22,0.0000
2026-02-23,0.0000
2026-02-24,0.0000
2026-02-25,0.0000
2026-02-26,0.0000
2026-02-27,0.0000
2026-02-28,0.0000
