date,kwh
2026-03-01,18.3000
2026-03-02,17.5000
2026-03-03,15.1000
2026-03-04,14.2000
2026-03-05,17.1000
2026-03-06,17.3000
2026-03-07,15.6000
2026-03-08,10.1000
2026-03-09,9.8000
2026-03-10,9.5000
2026-03-11,10.5000
2026-03-12,10.6000
2026-03-13,18.7000
2026-03-14,13.4000
2026-03-15,19.2000
2026-03-16,12.5000
2026-03-17,16.6000
2026-03-18,9.2000
2026-03-19,0.0000
2026-03-20,0.0000
2026-03-21,0.0000
2026-03-22,0.0000
2026-03-23,0.0000
2026-03-24,0.0000
2026-03-25,0.0000
2026-03-26,0.0000
2026-03-27,0.0000
2026-03-28,0.0000
2026-03-29,0.0000
2026-03-30,0.0000
2026-03-31,0.0000
