date,kwh
2026-02-01,2.3000
2026-02-02,2.1000
2026-02-03,2.2000
2026-02-04,1.8000
2026-02-05,1.6000
2026-02-06,1.2000
2026-02-07,1.9000
2026-02-08,1.9000
2026-02-09,2.4000
2026-02-10,2.6000
2026-02-11,2.4000
2026-02-12,0.0000
2026-02-13,0.0000
2026-02-14,0.0000
2026-02-15,0.0000
2026-02-16,0.0000
2026-02-17,0.0000
2026-02-18,0.0000
2026-02-19,0.0000
2026-02-20,0.0000
2026-02-21,0.0000
2026-02-22,0.0000
2026-02-23,0.0000
2026-02-24,0.0000
2026-02-25,0.0000
2026-02-26,0.0000
2026-02-27,0.0000
2026-02-28,0.0000
