date,kwh
2026-08-01,1.6000
2026-08-02,2.0000
2026-08-03,0.3000
2026-08-04,1.3000
2026-08-05,2.1000
2026-08-06,2.2000
2026-08-07,2.4000
2026-08-08,2.0000
2026-08-09,1.8000
2026-08-10,2.0000
2026-08-11,1.8000
2026-08-12,2.3000
2026-08-13,2.2000
2026-08-14,1.8000
2026-08-15,2.4000
2026-08-16,1.9000
2026-08-17,1.7000
2026-08-18,2.2000
2026-08-19,2.3000
2026-08-20,2.1000
2026-08-21,2.0000
2026-08-22,2.3000
2026-08-23,2.4000
2026-08-24,2.3000
2026-08-25,1.9000
2026-08-26,1.9000
2026-08-27,1.9000
2026-08-28,2.1000
2026-08-29,2.1000
2026-08-30,2.3000
2026-08-31,1.5000
