date,kwh
2026-04-01,5.6000
2026-04-02,6.6000
2026-04-03,3.6000
2026-04-04,8.8000
2026-04-05,9.3000
2026-04-06,8.6000
2026-04-07,9.2000
2026-04-08,8.5000
2026-04-09,9.4000
2026-04-10,8.0000
2026-04-11,8.2000
2026-04-12,4.8000
2026-04-13,8.3000
2026-04-14,11.5000
2026-04-15,11.2000
2026-04-16,9.5000
2026-04-17,10.5000
2026-04-18,11.3000
2026-04-19,11.1000
2026-04-20,10.2000
2026-04-21,10.2000
2026-04-22,9.9000
2026-04-23,10.1000
2026-04-24,4.1000
2026-04-25,0.0000
2026-04-26,0.0000
2026-04-27,0.0000
2026-04-28,0.0000
2026-04-29,0.0000
2026-04-30,0.0000
