date,kwh
2025-12-01,0.0000
2025-12-02,0.0000
2025-12-03,0.0000
2025-12-04,0.0000
2025-12-05,0.0000
2025-12-06,0.0000
2025-12-07,0.0000
2025-12-08,0.0000
2025-12-09,0.0000
2025-12-10,0.0000
2025-12-11,0.0000
2025-12-12,0.0000
2025-12-13,0.0000
2025-12-14,0.0000
2025-12-15,0.0000
2025-12-16,0.0000
2025-12-17,0.0000
2025-12-18,0.0000
2025-12-19,0.7000
2025-12-20,5.1000
2025-12-21,4.5000
2025-12-22,3.8000
2025-12-23,4.2000
2025-12-24,5.6000
2025-12-25,5.8000
2025-12-26,0.8000
2025-12-27,6.6000
2025-12-28,6.1000
2025-12-29,5.7000
2025-12-30,5.7000
