date,kwh
2026-02-01,6.2000
2026-02-02,6.0000
2026-02-03,7.3000
2026-02-04,7.5000
2026-02-05,5.1000
2026-02-06,4.6000
2026-02-07,5.3000
2026-02-08,6.5000
2026-02-09,7.3000
2026-02-10,7.3000
2026-02-11,7.3000
2026-02-12,6.2000
2026-02-13,6.7000
2026-02-14,3.4000
2026-02-15,6.9000
2026-02-16,6.9000
2026-02-17,3.6000
2026-02-18,4.5000
2026-02-19,6.8000
2026-02-20,7.0000
2026-02-21,7.2000
2026-02-22,1.4000
2026-02-23,0.0000
2026-02-24,0.0000
2026-02-25,0.0000
2026-02-26,0.0000
2026-02-27,0.0000
2026-02-28,0.0000
