date,kwh
2025-12-01,6.6000
2025-12-02,6.8000
2025-12-03,6.7000
2025-12-04,5.7000
2025-12-05,6.5000
2025-12-06,5.9000
2025-12-07,7.1000
2025-12-08,7.5000
2025-12-09,6.2000
2025-12-10,5.4000
2025-12-11,6.0000
2025-12-12,5.8000
2025-12-13,5.7000
2025-12-14,6.3000
2025-12-15,6.8000
2025-12-16,5.5000
2025-12-17,5.2000
2025-12-18,4.0000
2025-12-19,5.5000
2025-12-20,6.1000
2025-12-21,4.2000
2025-12-22,6.8000
2025-12-23,7.0000
2025-12-24,6.3000
2025-12-25,7.3000
2025-12-26,7.5000
2025-12-27,6.5000
2025-12-28,7.2000
2025-12-29,6.3000
2025-12-30,5.8000
2025-12-31,5.9000
