date,kwh
2026-07-01,6.1000
2026-07-02,6.4000
2026-07-03,5.7000
2026-07-04,4.8000
2026-07-05,5.9000
2026-07-06,6.1000
2026-07-07,5.8000
2026-07-08,6.6000
2026-07-09,5.7000
2026-07-10,4.8000
2026-07-11,5.5000
2026-07-12,6.1000
2026-07-13,5.8000
2026-07-14,6.4000
2026-07-15,6.6000
2026-07-16,6.5000
2026-07-17,6.6000
2026-07-18,5.4000
2026-07-19,6.1000
2026-07-20,6.0000
2026-07-21,6.3000
2026-07-22,6.2000
2026-07-23,6.6000
2026-07-24,6.3000
2026-07-25,4.9000
2026-07-26,5.3000
2026-07-27,6.4000
2026-07-28,6.2000
2026-07-29,5.0000
2026-07-30,6.1000
2026-07-31,2.0000
